created_at,entry_id,field2
2015-12-05 19:44:52 UTC,16678,75
2015-12-05 19:47:49 UTC,16684,77
2015-12-05 19:53:46 UTC,16696,75
2015-12-05 19:59:38 UTC,16707,75
2015-12-05 20:02:38 UTC,16713,75
2015-12-05 20:08:34 UTC,16725,75
2015-12-05 20:14:34 UTC,16736,76
2015-12-05 20:17:32 UTC,16742,75
2015-12-05 20:23:27 UTC,16754,75
2015-12-05 20:29:22 UTC,16765,75
2015-12-05 20:35:19 UTC,16776,76
2015-12-05 20:38:18 UTC,16782,76
2015-12-05 20:44:17 UTC,16793,76
2015-12-05 20:47:15 UTC,16799,75
2015-12-05 20:53:10 UTC,16811,75
2015-12-05 20:59:06 UTC,16822,75
2015-12-05 21:05:02 UTC,16833,75
2015-12-05 21:08:03 UTC,16839,76
2015-12-05 21:13:59 UTC,16850,76
2015-12-05 21:19:55 UTC,16861,75
2015-12-05 21:22:56 UTC,16867,76
2015-12-05 21:28:54 UTC,16878,76
2015-12-05 21:34:50 UTC,16889,75
2015-12-05 21:37:53 UTC,16895,76
2015-12-05 21:43:56 UTC,16907,76
2015-12-05 21:49:51 UTC,16918,75
2015-12-05 21:55:45 UTC,16929,74
2015-12-05 22:01:41 UTC,16940,76
2015-12-05 22:04:38 UTC,16946,75
2015-12-05 22:10:33 UTC,16958,74
2015-12-05 22:16:27 UTC,16969,76
2015-12-05 22:19:29 UTC,16975,76
2015-12-05 22:22:24 UTC,16981,74
2015-12-05 22:25:24 UTC,16987,75
2015-12-05 22:31:19 UTC,16998,74
2015-12-05 22:37:15 UTC,17009,74
2015-12-05 22:40:13 UTC,17015,75
2015-12-05 22:46:12 UTC,17027,77
2015-12-05 22:52:06 UTC,17038,76
2015-12-05 22:58:02 UTC,17049,75
2015-12-05 23:01:02 UTC,17055,74
2015-12-05 23:06:58 UTC,17067,74
2015-12-05 23:12:56 UTC,17078,75
2015-12-05 23:15:55 UTC,17084,74
2015-12-05 23:21:50 UTC,17096,74
2015-12-05 23:27:46 UTC,17107,75
2015-12-05 23:33:41 UTC,17118,75
2015-12-05 23:36:39 UTC,17124,74
2015-12-05 23:42:35 UTC,17136,75
2015-12-05 23:48:33 UTC,17147,74
2015-12-05 23:51:32 UTC,17153,74
2015-12-05 23:57:29 UTC,17164,74
2015-12-06 00:03:27 UTC,17174,75
2015-12-06 00:06:24 UTC,17180,75
2015-12-06 00:12:19 UTC,17192,74
2015-12-06 00:18:20 UTC,17203,73
2015-12-06 00:21:17 UTC,17209,75
2015-12-06 00:27:15 UTC,17221,74
